,wals code,name,value,description,latitude,longitude,genus,family,area,ID,Name,Macroarea_x,Latitude,Longitude,Glottocode,ISO639P3code,Family_x,Subfamily,Genus,GenusIcon,ISO_codes,Samples_100,Samples_200,Country_ID,Source,dataset_ID,variety,Macroarea_y,Family_y,num_unique_noun_words,num_unique_noun_concepts,num_unique_adj_words,num_unique_adj_concepts
0,abk,Abkhaz,2,Noun-Adjective,43.0833333333,41.0,Northwest Caucasian,Northwest Caucasian,Word Order,abk,Abkhaz,Eurasia,43.0833333333,41.0,abkh1244,abk,Northwest Caucasian,,Northwest Caucasian,c5851CC,abk,True,True,GE,Bybee-et-al-1994 Gecadze-1979 Hewitt-1979 Hewitt-1987 Hewitt-1989a Hewitt-1989d Hewitt-and-Khiba-1979 Lomtatidze-1967b Lomtatidze-1996 Spruyt-1986,diacl,Abkhaz,Eurasia,Abkhaz-Adyge,594,502,152,100
1,abv,Abui,2,Noun-Adjective,-8.25,124.666666667,Alor-Pantar,Greater West Bomberai,Word Order,abv,Abui,Papunesia,-8.25,124.666666667,abui1241,abz,Greater West Bomberai,Timor-Alor-Pantar,Alor-Pantar,c608033,abz,False,False,ID,Kratochvil-2007,lexirumah,"Abui, Takalelang",Papunesia,Timor-Alor-Pantar,1350,327,288,73
2,abu,Abun,2,Noun-Adjective,-0.5,132.5,Abun,Abun,Word Order,abu,Abun,Papunesia,-0.5,132.5,abun1252,kgr,,,,c807D33,kgr,False,False,ID,Berry-1995a Berry-1995b Berry-and-Berry-1999,transnewguineaorg,Abun,Papunesia,Abun,95,26,6,2
3,ace,Acehnese,2,Noun-Adjective,5.5,95.5,Malayo-Sumbawan,Austronesian,Word Order,ace,Acehnese,Eurasia,5.5,95.5,achi1257,ace,Austronesian,,Malayo-Sumbawan,cCC7D51,ace,False,False,ID,Aboe-Bakar-et-al-1985 Cowan-1981 Durie-1985 Durie-1995 Durie-et-al-1994 van-Langen-1889,diacl,Acehnese,Eurasia,Austronesian,88,89,0,0
4,acg,Achagua,2,Noun-Adjective,4.41666666667,-72.25,Japura-Colombia,Arawakan,Word Order,acg,Achagua,South America,4.41666666667,-72.25,acha1250,aca,Arawakan,,Japura-Colombia,c9A51CC,aca,False,False,CO,Aikhenvald-2007b Huber-and-Reed-1992 Melendez-1989 Wilson-and-Levinsohn-1992,hubercolumbian,Achagua,South America,Arawakan,187,157,56,32
5,acn,Achang,3,No dominant order,25.0,98.5,Burmese-Lolo,Sino-Tibetan,Word Order,acn,Achang,Eurasia,25.0,98.5,acha1249,acn,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,c338077,acn,False,False,CN MM,Dai-and-Cui-1985,suntb,Achang (Longchuan),Eurasia,Sino-Tibetan,454,462,96,100
6,adg,Adang,2,Noun-Adjective,-8.2,124.0,Alor-Pantar,Greater West Bomberai,Word Order,adg,Adang,Papunesia,-8.2,124.0,adan1251,adn,Greater West Bomberai,Timor-Alor-Pantar,Alor-Pantar,c608033,adn,False,False,ID,Haan-2001,lexirumah,"Adang, Otvai",Papunesia,Timor-Alor-Pantar,567,299,135,71
7,ady,Adyghe (Abzakh),2,Noun-Adjective,45.2333333333,40.5833333333,Northwest Caucasian,Northwest Caucasian,Word Order,ady,Adyghe (Abzakh),Eurasia,45.2333333333,40.5833333333,adyg1241,ady,Northwest Caucasian,,Northwest Caucasian,c5851CC,ady,False,False,RU,Paris-1989,diacl,Adyghe,Eurasia,Abkhaz-Adyge,519,490,98,99
8,adn,Adynyamathanha,1,Adjective-Noun,-30.5,139.5,Central Pama-Nyungan,Pama-Nyungan,Word Order,adn,Adynyamathanha,Australia,-30.5,139.5,adny1235,adt,Pama-Nyungan,,Central Pama-Nyungan,c335F80,adt,False,False,AU,Schebeck-1974,bowernpny,Adnyamathanha,Australia,Pama-Nyungan,158,162,38,38
9,awi,Aekyom,2,Noun-Adjective,-5.75,141.416666667,Elevala,Kamula-Elevala,Word Order,awi,Aekyom,Papunesia,-5.75,141.416666667,aeky1238,awi,Kamula-Elevala,,Elevala,c806C33,awi,False,False,PG,Horowitz-2008 Voorhoeve-1975,transnewguineaorg,Aekyom,Papunesia,Kamula-Elevala,36,38,4,4
10,agc,Agta (Central),1,Adjective-Noun,17.9666666667,121.833333333,Greater Central Philippine,Austronesian,Word Order,agc,Agta (Central),Papunesia,17.9666666667,121.833333333,cent2084,agt,Austronesian,,Greater Central Philippine,cCC8E51,agt,False,False,PH,Healey-1960,diacl,Agta,Papunesia,Austronesian,39,39,12,12
11,ain,Ainu,1,Adjective-Noun,43.0,143.0,Ainu,Ainu,Word Order,ain,Ainu,Eurasia,43.0,143.0,ainu1240,ain,,,,cB6CC51,ain,False,True,JP,Alpatov-et-al-2007 Dettmer-1989 Nichols-1992 Patrie-1982 Refsing-1986 Shibatani-1990 Simeon-1969 Tamura-1988 Tamura-2000,northeuralex,Hokkaido Ainu,Eurasia,Ainu,394,409,92,91
12,ala,Alamblak,1,Adjective-Noun,-4.66666666667,143.333333333,Sepik Hill,Sepik,Word Order,ala,Alamblak,Papunesia,-4.66666666667,143.333333333,alam1246,amp,Sepik,,Sepik Hill,c51C4CC,amp,True,True,PG,Bruce-1984 Nichols-1992,transnewguineaorg,Alamblak,Papunesia,Sepik,188,100,25,17
13,alb,Albanian,2,Noun-Adjective,41.0,20.0,Albanian,Indo-European,Word Order,alb,Albanian,Eurasia,41.0,20.0,,sqi,Indo-European,,Albanian,cCC5166,sqi,False,False,RS AL,Buchholz-and-Fiedler-1987 Camaj-1969 Camaj-1984 Friedman-1986 Hetzer-1991 Kacori-1979 Mann-1977 Maxwell-1979 Newmark-1957 Newmark-et-al-1982,northeuralex,Standard Albanian,Eurasia,Indo-European,512,462,102,99
14,aly,Alyawarra,2,Noun-Adjective,-22.5,135.0,Central Pama-Nyungan,Pama-Nyungan,Word Order,aly,Alyawarra,Australia,-22.5,135.0,alya1239,aly,Pama-Nyungan,,Central Pama-Nyungan,c335F80,aly,False,False,AU,Bybee-et-al-1994 Fabricius-1998 Stolz-1996 Yallop-1977 Yallop-1992,bowernpny,Alyawarr,Australia,Pama-Nyungan,155,161,36,36
15,amm,Ama,3,No dominant order,-4.21666666667,141.616666667,Left May,Left May,Word Order,amm,Ama,Papunesia,-4.21666666667,141.616666667,amap1240,amm,Left May,,Left May,cCC51C2,amm,False,False,PG,,transnewguineaorg,Ama,Papunesia,Left May,177,115,28,20
16,amq,Ambai,2,Noun-Adjective,-1.83333333333,136.5,South Halmahera - West New Guinea,Austronesian,Word Order,amq,Ambai,Papunesia,-1.83333333333,136.5,amba1265,amk,Austronesian,Eastern Malayo-Polynesian,South Halmahera - West New Guinea,c807433,amk,False,False,ID,Silzer-1983,transnewguineaorg,Ambai,Papunesia,Austronesian,35,26,4,2
17,amb,Ambulas,1,Adjective-Noun,-3.83333333333,143.0,Ndu,Sepik,Word Order,amb,Ambulas,Papunesia,-3.83333333333,143.0,ambu1247,abt,Sepik,,Ndu,c6B8033,abt,False,False,PG,Laycock-1965a Nichols-1992 Wilson-1980,transnewguineaorg,Ambulas,Papunesia,Ndu,53,40,5,5
18,ame,Amele,2,Noun-Adjective,-5.25,145.583333333,Mabuso,Trans-New Guinea,Word Order,ame,Amele,Papunesia,-5.25,145.583333333,amel1241,aey,Trans-New Guinea,Madang,Mabuso,cCC5197,aey,True,True,PG,Nichols-1992 Roberts-1987 Roberts-1990 Roberts-1993,transnewguineaorg,Amele,Papunesia,Nuclear Trans New Guinea,202,167,43,36
19,ami,Amis,1,Adjective-Noun,23.3333333333,121.333333333,East Formosan,Austronesian,Word Order,ami,Amis,Papunesia,23.3333333333,121.333333333,amis1246,ami,Austronesian,,East Formosan,cCC5163,ami,False,False,TW,Wu-2006,diacl,Amis,Papunesia,Austronesian,111,114,14,14
20,amx,Anamuxra,2,Noun-Adjective,-4.66666666667,145.0,Joseshstaal,Trans-New Guinea,Word Order,amx,Anamuxra,Papunesia,-4.66666666667,145.0,anam1248,imi,Trans-New Guinea,Madang,Joseshstaal,c5159CC,imi,False,False,PG,Ingram-2001,transnewguineaorg,Anamgura,Papunesia,Nuclear Trans New Guinea,176,163,41,35
21,agm,Angami,2,Noun-Adjective,25.6666666667,94.5,Angami-Pochuri,Sino-Tibetan,Word Order,agm,Angami,Eurasia,25.6666666667,94.5,anga1288,njm,Sino-Tibetan,Tibeto-Burman,Angami-Pochuri,c803A33,njm,False,False,IN,Giridhar-1980 Grierson-1904 Subbarao-and-Murthy-2000 Subbarao-et-al-2000,marrisonnaga,Angami Khonoma,Eurasia,Sino-Tibetan,662,392,161,90
22,anc,Angas,2,Noun-Adjective,9.5,9.5,West Chadic,Afro-Asiatic,Word Order,anc,Angas,Africa,9.5,9.5,ngas1240,anc,Afro-Asiatic,Chadic,West Chadic,cADCC51,anc,False,False,NG,Burquest-1971 Burquest-1973 Burquest-1986,kraftchadic,Angas,Africa,Afro-Asiatic,230,232,33,33
23,agt,Anguthimri,2,Noun-Adjective,-12.3333333333,141.833333333,Northern Pama-Nyungan,Pama-Nyungan,Word Order,agt,Anguthimri,Australia,-12.3333333333,141.833333333,angu1242,awg,Pama-Nyungan,,Northern Pama-Nyungan,c336680,awg,False,False,AU,Crowley-1981,bowernpny,Mbakwithi,Australia,Pama-Nyungan,119,124,21,21
24,ano,Anong,2,Noun-Adjective,27.3333333333,98.75,Nungish,Sino-Tibetan,Word Order,ano,Anong,Eurasia,27.3333333333,98.75,nung1282,nun,Sino-Tibetan,Tibeto-Burman,Nungish,c338073,nun,False,False,CN MM,Sun-1988,suntb,Anong,Eurasia,Sino-Tibetan,448,467,92,93
25,ao,Ao,2,Noun-Adjective,26.5833333333,94.6666666667,Central Naga,Sino-Tibetan,Word Order,ao,Ao,Eurasia,26.5833333333,94.6666666667,aona1235,njo,Sino-Tibetan,Tibeto-Burman,Central Naga,c803350,njo,False,False,IN,Clark-1893 Coupe-1999 Coupe-2007 Gowda-1972 Gowda-1975 Gurubasave-1975 Mills-1926,marrisonnaga,Ao Chungli,Eurasia,Sino-Tibetan,844,395,231,90
26,apt,Apatani,2,Noun-Adjective,27.5,93.75,Tani,Sino-Tibetan,Word Order,apt,Apatani,Eurasia,27.5,93.75,apat1240,apt,Sino-Tibetan,Tibeto-Burman,Tani,c51CCBE,apt,False,False,IN,Abraham-1985,diacl,Apatani,Eurasia,Sino-Tibetan,0,0,18,7
27,abn,Arabana,2,Noun-Adjective,-28.25,136.25,Central Pama-Nyungan,Pama-Nyungan,Word Order,abn,Arabana,Australia,-28.25,136.25,arab1267,ard,Pama-Nyungan,,Central Pama-Nyungan,c335F80,ard,False,False,AU,Hercus-1994,bowernpny,Arabana,Australia,Pama-Nyungan,168,171,40,42
28,ams,Arabic (Modern Standard),2,Noun-Adjective,25.0,42.0,Semitic,Afro-Asiatic,Word Order,ams,Arabic (Modern Standard),Eurasia,25.0,42.0,stan1318,arb,Afro-Asiatic,,Semitic,cB3CC51,arb,False,False,KW SO SY OM QA EG TN MA LY KM JO LB ER YE SA IQ PS DZ AE BH SD IL,Cowan-1958 Haywood-and-Nahmad-1965 Nasr-1967,diacl,Standard Arabic,Eurasia,Afro-Asiatic,510,464,108,100
