,wals code,name,OV_order_coded,OV_order,latitude,longitude,genus,family,area,name_x,SOV_order_coded,SOV_order,latitude_x,longitude_x,genus_x,family_x,area_x,name_y,adj_noun_order_coded,adj_noun_order,latitude_y,longitude_y,genus_y,family_y,area_y,ID,Name,Macroarea_x,Latitude,Longitude,Glottocode,ISO639P3code,Family_x,Subfamily,Genus,GenusIcon,ISO_codes,Samples_100,Samples_200,Country_ID,Source,dataset_ID,variety,Macroarea_y,Family_y,num_unique_noun_words,num_unique_noun_concepts,mean_noun_word_len,num_unique_adj_words,num_unique_adj_concepts,mean_adj_word_len
0,abk,Abkhaz,1,OV,43.0833333333,41.0,Northwest Caucasian,Northwest Caucasian,Word Order,Abkhaz,1,SOV,43.0833333333,41.0,Northwest Caucasian,Northwest Caucasian,Word Order,Abkhaz,2,Noun-Adjective,43.0833333333,41.0,Northwest Caucasian,Northwest Caucasian,Word Order,abk,Abkhaz,Eurasia,43.0833333333,41.0,abkh1244,abk,Northwest Caucasian,,Northwest Caucasian,c5851CC,abk,True,True,GE,Bybee-et-al-1994 Gecadze-1979 Hewitt-1979 Hewitt-1987 Hewitt-1989a Hewitt-1989d Hewitt-and-Khiba-1979 Lomtatidze-1967b Lomtatidze-1996 Spruyt-1986,diacl,Abkhaz,Eurasia,Abkhaz-Adyge,594,502,7.088785046728972,152,100,7.765822784810126
1,abv,Abui,1,OV,-8.25,124.666666667,Alor-Pantar,Greater West Bomberai,Word Order,Abui,1,SOV,-8.25,124.666666667,Alor-Pantar,Greater West Bomberai,Word Order,Abui,2,Noun-Adjective,-8.25,124.666666667,Alor-Pantar,Greater West Bomberai,Word Order,abv,Abui,Papunesia,-8.25,124.666666667,abui1241,abz,Greater West Bomberai,Timor-Alor-Pantar,Alor-Pantar,c608033,abz,False,False,ID,Kratochvil-2007,lexirumah,"Abui, Takalelang",Papunesia,Timor-Alor-Pantar,1350,327,6.498813760379597,288,73,6.213235294117647
2,abu,Abun,2,VO,-0.5,132.5,Abun,Abun,Word Order,Abun,2,SVO,-0.5,132.5,Abun,Abun,Word Order,Abun,2,Noun-Adjective,-0.5,132.5,Abun,Abun,Word Order,abu,Abun,Papunesia,-0.5,132.5,abun1252,kgr,,,,c807D33,kgr,False,False,ID,Berry-1995a Berry-1995b Berry-and-Berry-1999,transnewguineaorg,Abun,Papunesia,Abun,95,26,3.980769230769231,6,2,2.875
3,ace,Acehnese,3,No dominant order,5.5,95.5,Malayo-Sumbawan,Austronesian,Word Order,Acehnese,7,No dominant order,5.5,95.5,Malayo-Sumbawan,Austronesian,Word Order,Acehnese,2,Noun-Adjective,5.5,95.5,Malayo-Sumbawan,Austronesian,Word Order,ace,Acehnese,Eurasia,5.5,95.5,achi1257,ace,Austronesian,,Malayo-Sumbawan,cCC7D51,ace,False,False,ID,Aboe-Bakar-et-al-1985 Cowan-1981 Durie-1985 Durie-1995 Durie-et-al-1994 van-Langen-1889,diacl,Acehnese,Eurasia,Austronesian,88,89,5.662921348314606,0,0,
4,acg,Achagua,2,VO,4.41666666667,-72.25,Japura-Colombia,Arawakan,Word Order,Achagua,2,SVO,4.41666666667,-72.25,Japura-Colombia,Arawakan,Word Order,Achagua,2,Noun-Adjective,4.41666666667,-72.25,Japura-Colombia,Arawakan,Word Order,acg,Achagua,South America,4.41666666667,-72.25,acha1250,aca,Arawakan,,Japura-Colombia,c9A51CC,aca,False,False,CO,Aikhenvald-2007b Huber-and-Reed-1992 Melendez-1989 Wilson-and-Levinsohn-1992,hubercolumbian,Achagua,South America,Arawakan,187,157,6.137755102040816,56,32,6.857142857142857
5,adg,Adang,1,OV,-8.2,124.0,Alor-Pantar,Greater West Bomberai,Word Order,Adang,1,SOV,-8.2,124.0,Alor-Pantar,Greater West Bomberai,Word Order,Adang,2,Noun-Adjective,-8.2,124.0,Alor-Pantar,Greater West Bomberai,Word Order,adg,Adang,Papunesia,-8.2,124.0,adan1251,adn,Greater West Bomberai,Timor-Alor-Pantar,Alor-Pantar,c608033,adn,False,False,ID,Haan-2001,lexirumah,"Adang, Otvai",Papunesia,Timor-Alor-Pantar,567,299,5.710186513629842,135,71,5.722222222222222
6,ady,Adyghe (Abzakh),1,OV,45.2333333333,40.5833333333,Northwest Caucasian,Northwest Caucasian,Word Order,Adyghe (Abzakh),1,SOV,45.2333333333,40.5833333333,Northwest Caucasian,Northwest Caucasian,Word Order,Adyghe (Abzakh),2,Noun-Adjective,45.2333333333,40.5833333333,Northwest Caucasian,Northwest Caucasian,Word Order,ady,Adyghe (Abzakh),Eurasia,45.2333333333,40.5833333333,adyg1241,ady,Northwest Caucasian,,Northwest Caucasian,c5851CC,ady,False,False,RU,Paris-1989,diacl,Adyghe,Eurasia,Abkhaz-Adyge,519,490,6.858676207513417,98,99,7.10377358490566
7,adn,Adynyamathanha,3,No dominant order,-30.5,139.5,Central Pama-Nyungan,Pama-Nyungan,Word Order,Adynyamathanha,7,No dominant order,-30.5,139.5,Central Pama-Nyungan,Pama-Nyungan,Word Order,Adynyamathanha,1,Adjective-Noun,-30.5,139.5,Central Pama-Nyungan,Pama-Nyungan,Word Order,adn,Adynyamathanha,Australia,-30.5,139.5,adny1235,adt,Pama-Nyungan,,Central Pama-Nyungan,c335F80,adt,False,False,AU,Schebeck-1974,bowernpny,Adnyamathanha,Australia,Pama-Nyungan,158,162,7.037037037037037,38,38,8.052631578947368
8,awi,Aekyom,1,OV,-5.75,141.416666667,Elevala,Kamula-Elevala,Word Order,Aekyom,1,SOV,-5.75,141.416666667,Elevala,Kamula-Elevala,Word Order,Aekyom,2,Noun-Adjective,-5.75,141.416666667,Elevala,Kamula-Elevala,Word Order,awi,Aekyom,Papunesia,-5.75,141.416666667,aeky1238,awi,Kamula-Elevala,,Elevala,c806C33,awi,False,False,PG,Horowitz-2008 Voorhoeve-1975,transnewguineaorg,Aekyom,Papunesia,Kamula-Elevala,36,38,3.86046511627907,4,4,5.5
9,agc,Agta (Central),2,VO,17.9666666667,121.833333333,Greater Central Philippine,Austronesian,Word Order,Agta (Central),3,VSO,17.9666666667,121.833333333,Greater Central Philippine,Austronesian,Word Order,Agta (Central),1,Adjective-Noun,17.9666666667,121.833333333,Greater Central Philippine,Austronesian,Word Order,agc,Agta (Central),Papunesia,17.9666666667,121.833333333,cent2084,agt,Austronesian,,Greater Central Philippine,cCC8E51,agt,False,False,PH,Healey-1960,diacl,Agta,Papunesia,Austronesian,39,39,5.102564102564102,12,12,5.416666666666667
